14.367,0,16.391,20.576,16.391,-20.576,38.247,-5.9701
14.365,0.25074,16.593,20.806,16.19,-20.344,38.245,-5.7379
14.358,0.50141,16.796,21.033,15.992,-20.109,38.238,-5.5033
14.347,0.75192,17.001,21.256,15.796,-19.873,38.227,-5.2667
14.332,1.0022,17.207,21.477,15.602,-19.634,38.212,-5.0281
14.312,1.2522,17.413,21.694,15.41,-19.394,38.192,-4.788
14.288,1.5018,17.62,21.907,15.222,-19.152,38.168,-4.5465
14.26,1.7509,17.827,22.116,15.036,-18.91,38.14,-4.3039
14.227,1.9995,18.034,22.321,14.854,-18.666,38.107,-4.0603
14.19,2.2475,18.24,22.522,14.674,-18.422,38.07,-3.8162
14.149,2.4948,18.445,22.719,14.498,-18.178,38.029,-3.5716
14.103,2.7414,18.649,22.911,14.325,-17.933,37.983,-3.3268
14.053,2.9871,18.852,23.098,14.156,-17.688,37.933,-3.082
13.999,3.2319,19.052,23.28,13.99,-17.443,37.879,-2.8374
13.94,3.4757,19.251,23.457,13.828,-17.199,37.82,-2.5933
13.878,3.7185,19.447,23.63,13.67,-16.956,37.758,-2.3498
13.811,3.9601,19.641,23.796,13.515,-16.713,37.691,-2.1071
13.739,4.2006,19.831,23.958,13.364,-16.471,37.619,-1.8654
13.664,4.4397,20.018,24.114,13.217,-16.231,37.544,-1.6248
13.584,4.6775,20.202,24.265,13.073,-15.992,37.464,-1.3855
13.501,4.9139,20.381,24.411,12.934,-15.754,37.381,-1.1477
13.413,5.1487,20.557,24.551,12.797,-15.517,37.293,-0.91146
13.321,5.382,20.728,24.685,12.665,-15.283,37.201,-0.67691
13.225,5.6137,20.894,24.814,12.536,-15.05,37.105,-0.44417
13.125,5.8437,21.056,24.938,12.411,-14.819,37.005,-0.21336
13.021,6.0718,21.212,25.056,12.289,-14.591,36.901,0.01543
12.913,6.2982,21.363,25.168,12.171,-14.364,36.793,0.24212
12.801,6.5226,21.508,25.275,12.056,-14.139,36.681,0.46663
12.685,6.745,21.648,25.377,11.945,-13.917,36.565,0.68889
12.566,6.9653,21.782,25.473,11.837,-13.697,36.446,0.90884
12.442,7.1836,21.91,25.564,11.732,-13.48,36.322,1.1264
12.315,7.3996,22.031,25.65,11.631,-13.264,36.195,1.3416
12.184,7.6134,22.147,25.73,11.532,-13.052,36.064,1.5544
12.049,7.8249,22.256,25.805,11.437,-12.841,35.929,1.7646
11.911,8.034,22.358,25.876,11.344,-12.634,35.791,1.9724
11.769,8.2407,22.454,25.941,11.254,-12.428,35.649,2.1777
11.623,8.4448,22.544,26.001,11.168,-12.226,35.503,2.3805
11.474,8.6464,22.626,26.056,11.083,-12.025,35.354,2.5807
11.321,8.8453,22.702,26.107,11.002,-11.828,35.201,2.7784
11.165,9.0416,22.771,26.152,10.923,-11.632,35.045,2.9736
11.006,9.235,22.833,26.193,10.847,-11.44,34.886,3.1663
10.843,9.4257,22.889,26.229,10.773,-11.25,34.723,3.3565
10.677,9.6135,22.938,26.261,10.701,-11.062,34.557,3.5442
10.507,9.7984,22.98,26.288,10.632,-10.877,34.387,3.7294
10.335,9.9803,23.015,26.311,10.565,-10.694,34.215,3.9122
10.159,10.159,23.043,26.329,10.5,-10.513,34.039,4.0926
9.9803,10.335,23.065,26.343,10.437,-10.335,33.86,4.2706
9.7984,10.507,23.08,26.353,10.377,-10.16,33.678,4.4462
9.6135,10.677,23.088,26.358,10.318,-9.9865,33.494,4.6195
9.4257,10.843,23.09,26.359,10.261,-9.8154,33.306,4.7906
9.235,11.006,23.085,26.356,10.205,-9.6467,33.115,4.9593
9.0416,11.165,23.074,26.349,10.152,-9.4801,32.922,5.1259
8.8453,11.321,23.057,26.338,10.1,-9.3157,32.725,5.2903
8.6464,11.474,23.033,26.323,10.05,-9.1535,32.526,5.4525
8.4448,11.623,23.003,26.304,10.002,-8.9934,32.325,5.6126
8.2407,11.769,22.968,26.281,9.9549,-8.8353,32.121,5.7707
8.034,11.911,22.926,26.253,9.9094,-8.6792,31.914,5.9268
7.8249,12.049,22.878,26.222,9.8654,-8.5251,31.705,6.0809
7.6134,12.184,22.825,26.187,9.8228,-8.3729,31.493,6.2331
7.3996,12.315,22.765,26.148,9.7815,-8.2226,31.28,6.3834
7.1836,12.442,22.701,26.106,9.7415,-8.0742,31.064,6.5318
6.9653,12.566,22.631,26.059,9.7027,-7.9275,30.845,6.6785
6.745,12.685,22.555,26.009,9.6652,-7.7826,30.625,6.8234
6.5226,12.801,22.475,25.954,9.6288,-7.6394,30.403,6.9666
6.2982,12.913,22.389,25.896,9.5935,-7.4979,30.178,7.1081
6.0718,13.021,22.298,25.834,9.5594,-7.358,29.952,7.248
5.8437,13.125,22.202,25.769,9.5263,-7.2197,29.724,7.3863
5.6137,13.225,22.102,25.699,9.4942,-7.0829,29.494,7.5231
5.382,13.321,21.997,25.626,9.4631,-6.9476,29.262,7.6584
5.1487,13.413,21.888,25.548,9.4329,-6.8137,29.029,7.7923
4.9139,13.501,21.774,25.467,9.4037,-6.6812,28.794,7.9248
4.6775,13.584,21.656,25.383,9.3754,-6.5501,28.557,8.0559
4.4397,13.664,21.534,25.294,9.3479,-6.4203,28.32,8.1857
4.2006,13.739,21.408,25.201,9.3213,-6.2918,28.081,8.3142
3.9601,13.811,21.278,25.105,9.2954,-6.1645,27.84,8.4415
3.7185,13.878,21.144,25.005,9.2704,-6.0384,27.598,8.5676
3.4757,13.94,21.007,24.901,9.2461,-5.9134,27.356,8.6926
3.2319,13.999,20.866,24.793,9.2225,-5.7895,27.112,8.8165
